Title, Link , Date 
   Amara La Negra takes nude maternity shot with her baby bump on display  , https://www.lindaikejisblog.com/2021/11/amara-la-negra-takes-nude-maternity-shot-with-her-baby-bump-on-display.html  ,  by Linda Ikeji at 29/11/21 
   Saudi-bound businesswoman excretes 80 pellets of Cocaine at Abuja airport (photos)  , https://www.lindaikejisblog.com/2021/11/saudi-bound-businesswoman-excretes-80-pellets-of-cocaine-at-abuja-airport-photos.html  ,  by Linda Ikeji at 29/11/21 
   Manchester United confirm appointment of Ralf Rangnick as interim manager  , https://www.lindaikejisblog.com/2021/11/manchester-united-confirm-appointment-of-ralf-rangnick-as-interim-manager-2.html  ,  by Linda Ikeji at 29/11/21 
   Twitter has agreed to all FG’s conditions – Festus Keyamo  , https://www.lindaikejisblog.com/2021/11/twitter-has-agreed-to-all-fgs-conditions-festus-keyamo.html  ,  by Linda Ikeji at 29/11/21 
   Suspected thief nabbed in Bayelsa  , https://www.lindaikejisblog.com/2021/11/suspected-thief-nabbed-in-bayelsa-2.html  ,  by Linda Ikeji at 29/11/21 
   Football club Belenenses is hit by 13 cases of Omicron after player returns from South Africa  , https://www.lindaikejisblog.com/2021/11/football-club-belenenses-is-hit-by-13-cases-of-omicron-after-player-returns-from-south-africa-2.html  ,  by Linda Ikeji at 29/11/21 
   Comedian Senator and wife welcome baby girl  , https://www.lindaikejisblog.com/2021/11/comedian-senator-and-wife-welcome-baby-girl-2.html  ,  by Linda Ikeji at 29/11/21 
   Actor Emeka Amakeze replies Twitter user who said men don’t owe their wives fidelity  , https://www.lindaikejisblog.com/2021/11/actor-emeka-amakeze-replies-twitter-user-who-said-men-dont-owe-their-wives-fidelity.html  ,  by Linda Ikeji at 29/11/21 
   Corps member goes into labour during registration at Oyo NYSC camp and gives birth to baby girl  , https://www.lindaikejisblog.com/2021/11/corps-member-goes-into-labour-during-registration-at-oyo-nysc-camp-and-gives-birth-to-baby-girl-2.html  ,  by Linda Ikeji at 29/11/21 
   Couple infected with COVID-19 arrested on plane at Amsterdam's Schiphol airport after fleeing quarantine hotel  , https://www.lindaikejisblog.com/2021/11/couple-infected-with-covid-19-arrested-on-plane-at-amsterdams-schiphol-airport-after-fleeing-quarantine-hotel.html  ,  by Linda Ikeji at 29/11/21 
   "Had coronavirus originated in Africa, the world would have locked us away" AVDA Co-Chair, Dr Ayoade Alakija condemns travel ban placed on African countries over Omicron variant detected in South Africa  , https://www.lindaikejisblog.com/2021/11/had-coronavirus-originated-in-africa-the-world-would-have-locked-us-away-avda-co-chair-dr-ayoade-alakija-condemns-travel-ban-placed-on-african-countries-over-omicron-variant-detected-in-south-africa.html  ,  by Linda Ikeji at 29/11/21 
   Nigerian artist, Marvelous Eguabor declared missing  , https://www.lindaikejisblog.com/2021/11/nigerian-artist-marvelous-eguabor-declared-missing.html  ,  by Linda Ikeji at 29/11/21 
   Death row inmate who survived botched 2-hour execution dies years later of natural causes  , https://www.lindaikejisblog.com/2021/11/death-row-inmate-who-survived-botched-2-hour-execution-dies-years-later-of-natural-causes-2.html  ,  by Linda Ikeji at 29/11/21 
   Plateau lawmaker, Henry Longs dies after undergoing surgery  , https://www.lindaikejisblog.com/2021/11/plateau-lawmaker-henry-longs-dies-after-undergoing-surgery-2.html  ,  by Linda Ikeji at 29/11/21 
   Kim Kardashian 'gave no indication' she wants to work things out with Kanye West amid her new romance with Pete Davidson  , https://www.lindaikejisblog.com/2021/11/kim-kardashian-gave-no-indication-she-wants-to-work-things-out-with-kanye-west-amid-her-new-romance-with-pete-davidson.html  ,  by Linda Ikeji at 29/11/21 
   Let's avoid the unsolicited advice. I know I am pregnant - Bashir El-Rufai's wife Halima tells 'advisers'  , https://www.lindaikejisblog.com/2021/11/lets-avoid-the-unsolicited-advice-i-know-i-am-pregnant-bashir-el-rufais-wife-halima-tells-advisers.html  ,  by Linda Ikeji at 29/11/21 
   Why do some people hate pastors and ministers of God despite the good things they have done? - Mike Bamiloye asks  , https://www.lindaikejisblog.com/2021/11/why-do-some-people-hate-pastors-and-ministers-of-god-despite-the-good-things-they-have-done-mike-bamiloye-asks.html  ,  by Linda Ikeji at 29/11/21 
   29-year-old groom and his 28-year-old bride who were both virgins get married in Lagos (photo)  , https://www.lindaikejisblog.com/2021/11/29-year-old-groom-and-his-28-year-old-bride-who-were-both-virgins-get-married-in-lagos-photo.html  ,  by Linda Ikeji at 29/11/21 
   Will crypto conquer the world? OctaFX finds out  , https://www.lindaikejisblog.com/2021/11/will-crypto-conquer-the-world-octafx-finds-out.html  ,  by Linda Ikeji at 29/11/21 
   Oscar Pistorius to meet the parents of model Reeva Steenkamp to try to convince them he should be granted parole for her killing  , https://www.lindaikejisblog.com/2021/11/oscar-pistorius-to-meet-the-parents-of-model-reeva-steenkamp-to-try-to-convince-them-he-should-be-granted-parole-for-her-killing.html  ,  by Linda Ikeji at 29/11/21 
   It is lame and disrespectful to call people out on social media, especially when you have their phone numbers - Comedian Basketmouth  , https://www.lindaikejisblog.com/2021/11/it-is-lame-and-disrespectful-to-call-people-out-on-social-media-especially-when-you-have-their-phone-numbers-comedian-basketmouth.html  ,  by Linda Ikeji at 29/11/21 
   Alleged kidnapper, Evan’s co-defendant Chiemeka Arinze, dies in prison  , https://www.lindaikejisblog.com/2021/11/alleged-kidnapper-evans-co-defendant-chiemeka-arinze-dies-in-prison.html  ,  by Linda Ikeji at 29/11/21 
   Lindsay Lohan engaged to boyfriend Bader Shammas after dating for two years  , https://www.lindaikejisblog.com/2021/11/lindsay-lohan-engaged-to-boyfriend-bader-shammas-after-dating-for-two-years.html  ,  by Linda Ikeji at 29/11/21 
   Scum is not a gender based line - Comedian Funnybone addresses women who are quick to say 'men are scum'  , https://www.lindaikejisblog.com/2021/11/scum-is-not-a-gender-based-line-comedian-funnybone-addresses-women-who-are-quick-to-say-men-are-scum.html  ,  by Linda Ikeji at 29/11/21 
   Three shows on TV, billboards, multiple endorsements" - Toke Makinwa brags about her success  , https://www.lindaikejisblog.com/2021/11/three-shows-on-tv-billboards-multiple-endorsements-toke-makinwa-brags-about-her-success.html  ,  by Linda Ikeji at 29/11/21 
   Czech Republic President infected with Covid appoints Prime Minister from inside glass box (photos)  , https://www.lindaikejisblog.com/2021/11/czech-republic-president-infected-with-covid-appoints-prime-minister-from-inside-glass-box-photos-2.html  ,  by Linda Ikeji at 29/11/21 
   Bride dies on her wedding day in Kano  , https://www.lindaikejisblog.com/2021/11/bride-dies-on-her-wedding-day-in-kano-2.html  ,  by Linda Ikeji at 29/11/21 
   Elliot Page goes topless to show off abs one year after coming out as transgender and transitioning into a man  , https://www.lindaikejisblog.com/2021/11/elliot-page-goes-topless-to-show-off-abs-one-year-after-coming-out-as-transgender-and-transitioning-into-a-man-2.html  ,  by Linda Ikeji at 29/11/21 
   COVID: Canada confirms Two Nigerians have tested positive for Omicron Variant  , https://www.lindaikejisblog.com/2021/11/covid-canada-confirms-two-nigerians-have-tested-positive-for-omicron-variant-2.html  ,  by Linda Ikeji at 29/11/21 
   #EndSARS panel was illegal. States can’t probe military and police – Festus Keyamo (video)  , https://www.lindaikejisblog.com/2021/11/endsars-panel-was-illegal-states-cant-probe-military-and-police-festus-keyamo-video.html  ,  by Linda Ikeji at 29/11/21 
   South African President knocks countries for closing their borders in response to Omicron coronavirus outbreak  , https://www.lindaikejisblog.com/2021/11/south-african-president-knocks-countries-for-closing-their-borders-in-response-to-omicron-coronavirus-outbreak.html  ,  by Linda Ikeji at 29/11/21 
   Actress Didi Ekanem in tears as fire razes her home with all her properties (videos)  , https://www.lindaikejisblog.com/2021/11/actress-didi-ekanem-in-tears-as-fire-razes-her-home-with-all-her-properties-videos.html  ,  by Linda Ikeji at 29/11/21 
   58-year-old businessman brutally murdered in Delta  , https://www.lindaikejisblog.com/2021/11/58-year-old-businessman-brutally-murdered-in-delta.html  ,  by Linda Ikeji at 29/11/21 
   Aminu Tambuwal, Nyesom Wike, Godwin Obaseki, Pete Edochie, Ifeanyi Ugwuanyi, others at the wedding of Abia state governor, Okezie Ikpeazu's son (photos)  , https://www.lindaikejisblog.com/2021/11/aminu-tambuwal-nyesom-wike-godwin-obaseki-pete-edochie-ifeanyi-ugwuanyi-others-at-the-wedding-of-abia-state-governor-okezie-ikpeazus-son-photos.html  ,  by Linda Ikeji at 29/11/21 
   Uche Maduagwu attacks Mr Ibu for allegedly endorsing ex-Vice President Atiku Abubakar ahead of the 2023 presidential election  , https://www.lindaikejisblog.com/2021/11/uche-maduagwu-attacks-mr-ibu-for-allegedly-endorsing-ex-vice-president-atiku-abubakar-ahead-of-the-2023-presidential-election-2.html  ,  by Linda Ikeji at 29/11/21 
   He is our family's benefactor. We cannot work against him - Foluke Daramola's husband, Kayode Salako defends her after she was bashed for allegedly supporting Bola Tinubu's 'presidential bid'  , https://www.lindaikejisblog.com/2021/11/he-is-our-familys-benefactor-we-cannot-work-against-him-foluke-daramolas-husband-kayode-salako-defends-her-after-she-was-bashed-for-allegedly-supporting-bola-tinubus-presidential-bid-2.html  ,  by Linda Ikeji at 29/11/21 
   Harry Styles grabs attention as he covers Dazed and Confused Magazine  , https://www.lindaikejisblog.com/2021/11/harry-styles-grabs-attention-as-he-covers-dazed-and-confused-magazine-2.html  ,  by Linda Ikeji at 29/11/21 
   Residents cry out as houses in Festac Phase 2 are demolished by the government (photos/video)  , https://www.lindaikejisblog.com/2021/11/residents-cry-out-as-houses-in-festac-phase-2-are-demolished-by-the-government-photosvideo.html  ,  by Linda Ikeji at 28/11/21 
   Bandits attack Jos correctional center  , https://www.lindaikejisblog.com/2021/11/bandits-attack-jos-correctional-center.html  ,  by Linda Ikeji at 28/11/21 
   Businessman and chairman of Coscharis motors, Cosmas Maduka, loses wife  , https://www.lindaikejisblog.com/2021/11/businessman-and-chairman-of-coscharis-motors-cosmas-maduka-loses-wife-2.html  ,  by Linda Ikeji at 28/11/21 
   Kidnappers release 10 Zaria LG employees after alleged payment of N40m ransom, detain 3 others until they get brand new motorcycles  , https://www.lindaikejisblog.com/2021/11/kidnappers-release-10-zaria-lg-employees-after-alleged-payment-of-n40m-ransom-detain-3-others-until-they-get-brand-new-motorcycles-2.html  ,  by Linda Ikeji at 28/11/21 
   Barbados to become a republic, replacing Queen Elizabeth with Governor General Sandra Mason  , https://www.lindaikejisblog.com/2021/11/barbados-to-become-a-republic-replacing-queen-elizabeth-with-governor-general-sandra-mason-2.html  ,  by Linda Ikeji at 28/11/21 
   Twitter user raises alarm over a crack spotted on one of the pillars at Lagos airport  , https://www.lindaikejisblog.com/2021/11/twitter-user-raises-alarm-over-a-crack-spotted-on-one-of-the-pillars-at-lagos-airport-2.html  ,  by Linda Ikeji at 28/11/21 
   Three Nigerian men, two Thais arrested as police bust transnational cocaine trafficking ring in Bangkok  , https://www.lindaikejisblog.com/2021/11/three-nigerian-men-two-thais-arrested-as-police-bust-transnational-cocaine-trafficking-ring-in-bangkok-2.html  ,  by Linda Ikeji at 28/11/21 
   Man.United legend Patrice Evra congratulates Lionel Messi for winning his 7th Ballon d’Or ahead of the award ceremony  , https://www.lindaikejisblog.com/2021/11/manunited-legend-patrice-evra-congratulates-lionel-messi-for-winning-his-7th-ballon-dor-ahead-of-the-award-ceremony.html  ,  by Linda Ikeji at 28/11/21 
   Rivers police rescue kidnapped job seeker lured from Delta to Port Harcourt, arrest 10 suspected kidnappers  , https://www.lindaikejisblog.com/2021/11/rivers-police-rescue-kidnapped-job-seeker-lured-from-delta-to-port-harcourt-arrest-10-suspected-kidnappers-2.html  ,  by Linda Ikeji at 28/11/21 
   Louis Vuitton's artistic director and the founder of Off-White, Titan Virgil Abloh dies at 41 after private cancer battle  , https://www.lindaikejisblog.com/2021/11/louis-vuittons-artistic-director-and-the-founder-of-off-white-titan-virgil-abloh-dies-at-41-after-private-cancer-battle.html  ,  by Linda Ikeji at 28/11/21 
   Cristiano Ronaldo's 'only ambition is to finish his career with more Ballon d'Or trophies than rival Lionel Messi', claims the chief of the award  , https://www.lindaikejisblog.com/2021/11/cristiano-ronaldos-only-ambition-is-to-finish-his-career-with-more-ballon-dor-trophies-than-rival-lionel-messi-claims-the-chief-of-the-award-2.html  ,  by Linda Ikeji at 28/11/21 
   Fuji star, Ks1 Malaika surprises his mum with a house (photos/video)  , https://www.lindaikejisblog.com/2021/11/fuji-star-ks1-malaika-surprises-his-mum-with-a-house-photosvideo.html  ,  by Linda Ikeji at 28/11/21 
   Police arrest four suspected armed robbers during stop and search in Delta  , https://www.lindaikejisblog.com/2021/11/police-arrest-four-suspected-armed-robbers-during-stop-and-search-in-delta-2.html  ,  by Linda Ikeji at 28/11/21 
   Rapper, Cynthia Morgan dismiss claims she is depressed  , https://www.lindaikejisblog.com/2021/11/rapper-cynthia-morgan-dismiss-claims-she-is-depressed-2.html  ,  by Linda Ikeji at 28/11/21 
   DSS raises alarm over terrorists’ plot to attack military bases  , https://www.lindaikejisblog.com/2021/11/dss-raises-alarm-over-terrorists-plot-to-attack-military-bases.html  ,  by Linda Ikeji at 28/11/21 
   Garba Shehu replies Reno Omokri after he offered him $50 to move to Bama without security  , https://www.lindaikejisblog.com/2021/11/garba-shehu-replies-reno-omokri-after-he-offered-him-50-to-move-to-bama-without-security-2.html  ,  by Linda Ikeji at 28/11/21 
   Toke Makinwa reacts after she was called out over how her face looks  , https://www.lindaikejisblog.com/2021/11/toke-makinwa-reacts-after-she-was-called-out-over-how-her-face-looks.html  ,  by Linda Ikeji at 28/11/21 
   UK mandates all travelers to take PCR test following the discovery of Omricon variant of Coronavirus  , https://www.lindaikejisblog.com/2021/11/uk-mandates-all-travelers-to-take-pcr-test-following-the-discovery-of-omricon-variant-of-coronavirus.html  ,  by Linda Ikeji at 28/11/21 
   You literally mean the world to me - Media personality Ebuka Obi-Uchendu tells wife Cynthia as she turns a year older  , https://www.lindaikejisblog.com/2021/11/you-literally-mean-the-world-to-me-media-personality-ebuka-obi-uchendu-tells-wife-cynthia-as-she-turns-a-year-older.html  ,  by Linda Ikeji at 28/11/21 
   Update: Video from the burial of three children, seven others killed by suspected Fulani militias in Plateau  , https://www.lindaikejisblog.com/2021/11/update-video-from-the-burial-of-three-children-seven-others-killed-by-suspected-fulani-militias-in-plateau.html  ,  by Linda Ikeji at 28/11/21 
   Twitter user shares photos of tiny toilet provided in an apartment put up for sale  , https://www.lindaikejisblog.com/2021/11/twitter-user-shares-photos-of-tiny-toilet-provided-in-an-apartment-put-up-for-sale-2.html  ,  by Linda Ikeji at 28/11/21 
   Victor Osimhen's eye 'came out of its socket' as it's revealed he had 18 screws inserted in his cheekbone after horrifying facial injury  , https://www.lindaikejisblog.com/2021/11/victor-osimhens-eye-came-out-of-its-socket-as-its-revealed-he-had-18-screws-inserted-in-his-cheekbone-after-horrifying-facial-injury.html  ,  by Linda Ikeji at 28/11/21 
   Peter and Paul Psquare perform together for the first time since their reunion  , https://www.lindaikejisblog.com/2021/11/peter-and-paul-psquare-perform-together-for-the-first-time-since-their-reunion-2.html  ,  by Linda Ikeji at 28/11/21 
 